player,country,span,mat,inns,balls,overs,mdns,runs,wkts,sr,bbi,ave,econ,4,5,year_one,year_two,year_diff
GD McGrath,AUS,1996-2007,39,39,1955,325.5,42,1292,71,27.53,7/15,18.19,3.96,0,2,1996,2007,11
M Muralidaran,SL,1996-2011,40,39,2061,343.3,15,1335,68,30.3,4/19,19.63,3.88,4,0,1996,2011,15
MA Starc,AUS,2015-2023,27,27,1399,233.1,10,1199,62,22.56,6/28,19.33,5.14,3,3,2015,2023,8
SL Malinga,SL,2007-2019,29,28,1394,232.2,11,1281,56,24.89,6/38,22.87,5.51,2,1,2007,2019,12
Wasim Akram,PAK,1987-2003,38,36,1947,324.3,16,1311,55,35.4,5/28,23.83,4.04,2,1,1987,2003,16
Mohammed Shami,IND,2015-2023,17,17,828,138.0,12,697,54,15.33,7/57,12.9,5.05,4,4,2015,2023,8
TA Boult,NZ,2015-2023,29,29,1650,275.0,24,1354,53,31.13,5/27,25.54,4.92,3,1,2015,2023,8
WPUJC Vaas,SL,1996-2007,31,31,1570,261.4,39,1040,49,32.04,6/25,21.22,3.97,1,1,1996,2007,11
Z Khan,IND,2003-2011,23,23,1193,198.5,12,890,44,27.11,4/42,20.22,4.47,1,0,2003,2011,8
J Srinath,IND,1992-2003,34,33,1700,283.2,21,1224,44,38.63,4/30,27.81,4.32,2,0,1992,2003,11
Shakib Al Hasan,BAN,2007-2023,36,36,1808,301.2,3,1551,43,42.04,5/29,36.06,5.14,1,1,2007,2023,16
TG Southee,NZ,2011-2023,22,22,1172,195.2,16,1110,41,28.58,7/33,27.07,5.68,0,1,2011,2023,12
Imran Tahir,SA,2011-2019,22,21,1151,191.5,7,847,40,28.77,5/45,21.17,4.41,4,1,2011,2019,8
AA Donald,SA,1992-2003,25,25,1313,218.5,14,913,38,34.55,4/17,24.02,4.17,2,0,1992,2003,11
JJ Bumrah,IND,2019-2023,19,19,1001,166.5,16,701,36,27.8,4/39,19.47,4.2,2,0,2019,2023,4
JDP Oram,NZ,2003-2011,23,23,1094,182.2,21,768,36,30.38,4/39,21.33,4.21,2,0,2003,2011,8
DL Vettori,NZ,2003-2015,32,31,1689,281.3,12,1168,36,46.91,4/18,32.44,4.14,2,0,2003,2015,12
B Lee,AUS,2003-2011,17,17,825,137.3,15,629,35,23.57,5/42,17.97,4.57,2,1,2003,2011,8
Wahab Riaz,PAK,2011-2019,20,20,1000,166.4,5,926,35,28.57,5/46,26.45,5.55,1,1,2011,2019,8
GB Hogg,AUS,2003-2007,21,20,951,158.3,10,654,34,27.97,4/27,19.23,4.12,2,0,2003,2007,4
Imran Khan,PAK,1975-1992,28,19,1017,169.3,18,655,34,29.91,4/37,19.26,3.86,2,0,1975,1992,17
Shaheen Shah Afridi,PAK,2019-2023,14,14,769,128.1,6,715,34,22.61,6/35,21.02,5.57,1,2,2019,2023,4
SW Tait,AUS,2007-2011,18,18,819,136.3,4,731,34,24.08,4/39,21.5,5.35,1,0,2007,2011,4
SK Warne,AUS,1996-1999,17,17,977,162.5,16,624,32,30.53,4/29,19.5,3.83,4,0,1996,1999,3
CZ Harris,NZ,1992-2003,28,27,1166,194.2,10,861,32,36.43,4/7,26.9,4.43,1,0,1992,2003,11
PJ Cummins,AUS,2015-2023,22,22,1073,178.5,8,988,32,33.53,3/33,30.87,5.52,0,0,2015,2023,8
A Kumble,IND,1996-2007,18,18,1039,173.1,5,708,31,33.51,4/32,22.83,4.08,1,0,1996,2007,11
LH Ferguson,NZ,2019-2023,16,16,826,137.4,6,710,31,26.64,4/37,22.9,5.15,1,0,2019,2023,4
SM Pollock,SA,1996-2007,31,31,1614,269.0,37,970,31,52.06,5/36,31.29,3.6,0,1,1996,2007,11
CR Woakes,ENG,2015-2023,24,24,1066,177.4,8,978,31,34.38,4/54,31.54,5.5,1,0,2015,2023,8
SE Bond,NZ,2003-2007,16,16,886,147.4,21,518,30,29.53,6/23,17.26,3.5,0,1,2003,2007,4
IT Botham,ENG,1979-1992,22,22,1332,222.0,33,762,30,44.4,4/31,25.4,3.43,1,0,1979,1992,13
Shoaib Akhtar,PAK,1999-2011,19,18,893,148.5,9,765,30,29.76,4/46,25.5,5.13,1,0,1999,2011,12
Shahid Afridi,PAK,1999-2015,27,24,1104,184.0,7,831,30,36.8,5/16,27.7,4.51,2,2,1999,2015,16
PAJ DeFreitas,ENG,1987-1996,22,22,1127,187.5,30,742,29,38.86,3/28,25.58,3.95,0,0,1987,1996,9
N Kapil Dev,IND,1979-1992,26,25,1422,237.0,27,892,28,50.78,5/43,31.85,3.76,0,1,1979,1992,13
CA Walsh,WI,1987-1999,17,17,948,158.0,23,547,27,35.11,4/25,20.25,3.46,2,0,1987,1999,12
CJ McDermott,AUS,1987-1996,17,17,894,149.0,8,599,27,33.11,5/44,22.18,4.02,1,1,1987,1996,9
A Zampa,AUS,2019-2023,14,14,714,119.0,1,707,27,26.44,4/8,26.18,5.94,3,0,2019,2023,4
RA Jadeja,IND,2015-2023,20,20,1021,170.1,4,786,27,37.81,5/33,29.11,4.61,0,1,2015,2023,8
MJ Henry,NZ,2015-2023,18,18,911,151.5,10,793,27,33.74,4/47,29.37,5.22,1,0,2015,2023,8
SR Waugh,AUS,1987-1999,33,26,1039,173.1,7,814,27,38.48,3/36,30.14,4.7,0,0,1987,1999,12
ST Jayasuriya,SL,1992-2007,38,31,1315,219.1,4,1060,27,48.7,3/12,39.25,4.83,0,0,1992,2007,15
JM Anderson,ENG,2003-2015,25,25,1254,209.0,9,1081,27,46.44,4/25,40.03,5.17,2,0,2003,2015,12
M Morkel,SA,2011-2015,14,14,651,108.3,4,506,26,25.03,3/33,19.46,4.66,0,0,2011,2015,4
Mushtaq Ahmed,PAK,1992-1996,15,14,810,135.0,5,549,26,31.15,3/16,21.11,4.06,0,0,1992,1996,4
AME Roberts,WI,1975-1983,16,16,1021,170.1,29,552,26,39.26,3/32,21.23,3.24,0,0,1975,1983,8
DW Fleming,AUS,1996-1999,16,16,800,133.2,12,583,26,30.76,5/36,22.42,4.37,0,1,1996,1999,3
AU Rashid,ENG,2019-2023,20,20,1030,171.4,1,939,26,39.61,3/42,36.11,5.46,0,0,2019,2023,4
MG Johnson,AUS,2011-2015,15,15,726,121.0,9,557,25,29.04,4/19,22.28,4.6,3,0,2011,2015,4
Mustafizur Rahman,BAN,2019-2023,16,16,827,137.5,5,882,25,33.08,5/59,35.28,6.39,0,2,2019,2023,4
CEL Ambrose,WI,1992-1999,17,17,987,164.3,20,499,24,41.12,3/28,20.79,3.03,0,0,1992,1999,7
